term,normalized_term,short_definition,source_titles,source_locations,extraction_confidence,also_appears_as_corpus_term,notes
energy density,energy density,"s, because of their weight, require the energy density of oil in order to propel their loads along the highway, although in China LNG is also being used.4 Oil and natural gas are also the feedstock for petrochemicals, from which chemicals and plastics are made. A growing mo","Energy (Vaclav Smil) | Energy: A Beginner's Guide | How the World Really Works | Oil: A Beginner's Guide | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations","The New Map: Energy, Climate, and the Clash of Nations:p362 | How the World Really Works:p30 | The Economics of Oil and Gas:p23 | Oil: A Beginner's Guide:p62 | Energy: A Beginner's Guide:p66 | Energy (Vaclav Smil):p54",low,,
energy intensity,energy intensity,"on, “Changes in steel production reduce energy intensity” (2016), https://www.eia.gov/todayinenergy/detail.php?id=27292. 78 World Steel Association, Steel’s Contribution to a Low Carbon Future and Climate Resilient Societies (Brussels: World Steel Association, 2020); H. He et",Energy (Vaclav Smil) | How the World Really Works,How the World Really Works:p259 | Energy (Vaclav Smil):p134,low,,
energy sector,energy sector,"Jan Eichler, “Terrorist Attacks on the Energy Sector: The Case of Al Qaeda and the Islamic State,” Studies in Conflict & Terrorism 41, no. 6 (2018), pp. 455, 465; Lisa Marshall, “Terrorism and Friendship in Algeria,” Colorado School of Mines Magazine 103, no. 2 (Summer 20","ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | Oil Company Crisis: Managing Structure, Profitability and Growth | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale | Valero Energy Corporation Form 10-K (FY2024)","The New Map: Energy, Climate, and the Clash of Nations:p49 | The World for Sale:p263 | Oil Company Crisis: Managing Structure, Profitability and Growth:p44 | Exxon Mobil Corporation Form 10-K (FY2025):p52 | ConocoPhillips Form 10-K (FY2025):p57 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p8 | Enterprise Products Partners L.P. Form 10-K (FY2025):p42 | Valero Energy Corporation Form 10-K (FY2024):p40",low,,
Energy Security,energy security,", “must be kept open to protect China’s energy security.” What really counts for China’s energy security is not the unproven resources that may lie deep under the seabed, far beneath the sea lanes, but rather the sea lanes themselves and what traverses them.5 T Chapter 23 C","ConocoPhillips Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale","The New Map: Energy, Climate, and the Clash of Nations:p6 | The World for Sale:p224 | The Economics of Oil and Gas:p145 | Exxon Mobil Corporation Form 10-K (FY2025):p4 | ConocoPhillips Form 10-K (FY2025):p25",low,,
Energy Transition,energy transition,"of many developing countries. The term “energy transition” has multiple dimensions for India. It is a transition out of poverty and using wood and waste and into commercial energy—and better health and reducing pollution, both in cities (India has seven of the ten most pollute","Energy (Vaclav Smil) | Energy: A Beginner's Guide | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | Valero Energy Corporation Form 10-K (FY2024)","The New Map: Energy, Climate, and the Clash of Nations:p7 | How the World Really Works:p15 | The Economics of Oil and Gas:p171 | Oil: A Beginner's Guide:p154 | Energy: A Beginner's Guide:p163 | Energy (Vaclav Smil):p126 | Exxon Mobil Corporation Form 10-K (FY2025):p4 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p3",low,,
enhanced oil recovery,enhanced oil recovery,(US) EMV expected monetary value EOR enhanced oil recovery FCC fluidized catalytic cracking FDI foreign direct investment FERC Federal Energy Regulatory Commission FOB free on board FSU former Soviet Union List of abbrevia,ConocoPhillips Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | The Economics of Oil and Gas,The Economics of Oil and Gas:p13 | Exxon Mobil Corporation Form 10-K (FY2025):p115 | ConocoPhillips Form 10-K (FY2025):p6,low,,
enterprise value,enterprise value,"ental to Saudi Arabia. With a potential enterprise value that the crown prince posited at $2 trillion, the potential magnitude of an Aramco privatization would exceed any previous IPO in history and could change the dynamics of the world oil industry. Saudi Aramco is the engi","Oil Company Crisis: Managing Structure, Profitability and Growth | The New Map: Energy, Climate, and the Clash of Nations | Valuation of International Oil Companies (Osmundsen et al. 2006)","The New Map: Energy, Climate, and the Clash of Nations:p272 | Oil Company Crisis: Managing Structure, Profitability and Growth:p61 | Valuation of International Oil Companies (Osmundsen et al. 2006):p5",low,G25;G95,
EOR,eor,"ETHODS OF ENHANCED OIL RECOVERY Thermal EOR: uses heat to improve oil recovery by reducing the viscosity of heavy oils and vaporizing lighter oils, hence improving the fluidity. The techniques include: steam injection, in situ combustion (i.e. injection of a h",The Economics of Oil and Gas,The Economics of Oil and Gas:p13,low,,
exploration and production,exploration production,"o the independents—companies focused on exploration and production, unburdened with gas stations or refineries, more entrepreneurial, faster-moving, and with the lower cost structures required to make money in the increasingly depleted onshore. “Independents” itself was a pretty broad","ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | Valuation of International Oil Companies (Osmundsen et al. 2006)","The New Map: Energy, Climate, and the Clash of Nations:p23 | The Economics of Oil and Gas:p9 | Oil: A Beginner's Guide:p33 | Oil Company Crisis: Managing Structure, Profitability and Growth:p18 | Valuation of International Oil Companies (Osmundsen et al. 2006):p2 | Exxon Mobil Corporation Form 10-K (FY2025):p3 | ConocoPhillips Form 10-K (FY2025):p3 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p9",low,,
FCC,fcc,"–​ such as a fluid catalytic cracking (FCC) unit or a catalytic reformer –​ to the cost of a crude distillation unit. In forming the index, the cost of atmospheric distillation unit is assigned a value of one. All other units are rated in terms of their costs",Oil: A Beginner's Guide | The Economics of Oil and Gas,The Economics of Oil and Gas:p13 | Oil: A Beginner's Guide:p145,low,,
fee-based,fee based,"L fractionation generates revenue using fee-based arrangements. These fees are contractually subject to adjustment for changes in certain fractionation expenses (e.g., fuel costs) and are recognized in the period services are provided. NGL pipeline transportation cont",Enterprise Products Partners L.P. Form 10-K (FY2025),Enterprise Products Partners L.P. Form 10-K (FY2025):p6,high,,
finding cost,finding cost,"e of $6.83/​barrel. In comparison, the finding cost for US offshore was $63.71/​barrel in the same year. Although technological advances in finding and producing oil have made it possible to bring oil to the surface from more and more remote reservoirs at steadily inc","Oil Company Crisis: Managing Structure, Profitability and Growth | The Economics of Oil and Gas | Valuation of International Oil Companies (Osmundsen et al. 2006)","The Economics of Oil and Gas:p64 | Oil Company Crisis: Managing Structure, Profitability and Growth:p49 | Valuation of International Oil Companies (Osmundsen et al. 2006):p8",low,,
Finding and Development,finding development,ream Operations in 2001 40 Figure 10: Finding and Development Costs Fall with Size and Diversity 42 Figure 11: Risked Future Capital versus Weighted Average IRR for Various Projects 44 Figure 12: Accounting and Economic Returns Differ 61 Figure 13: The Growth versus Return Tr,"Oil Company Crisis: Managing Structure, Profitability and Growth | Valuation of International Oil Companies (Osmundsen et al. 2006)","Oil Company Crisis: Managing Structure, Profitability and Growth:p6 | Valuation of International Oil Companies (Osmundsen et al. 2006):p6",low,G5;G25,
Fossil fuel,fossil fuel,2019 was bigger than the additions from fossil fuels and nuclear. But that requires an important caveat—“operating time” is much less than “capacity.” Much of the fossil fuels and the nuclear are base load or can be managed to correlate with demand for electricity at any,"ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | How the World Really Works | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale | Valero Energy Corporation Form 10-K (FY2024)","The New Map: Energy, Climate, and the Clash of Nations:p4 | The World for Sale:p23 | How the World Really Works:p4 | The Economics of Oil and Gas:p157 | Oil: A Beginner's Guide:p43 | Energy: A Beginner's Guide:p17 | Energy (Vaclav Smil):p16 | ConocoPhillips Form 10-K (FY2025):p25",low,,
fracking,fracking,"They didn’t want to just call it “water fracking.” That would have been too prosaic, even boring. So they called it “slick water fracturing.” The company quickly adapted the technique to its new wells in the Barnett. Production surged. Yet if it was going to develop s","Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Oil: A Beginner's Guide | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations","The New Map: Energy, Climate, and the Clash of Nations:p19 | The Economics of Oil and Gas:p62 | Oil: A Beginner's Guide:p48 | Energy: A Beginner's Guide:p116 | Enterprise Products Partners L.P. Form 10-K (FY2025):p51",low,,
fractionation,fractionation,"es from the preferential carbon isotope fractionation during photosynthesis: in oil the ratio of two stable isotopes,13C and the dominant 12C, resembles that of plants (photosynthesis preferentially selects the lighter isotope) and not that of carbonate rocks. And the comm",Enterprise Products Partners L.P. Form 10-K (FY2025) | Oil: A Beginner's Guide,Oil: A Beginner's Guide:p67 | Enterprise Products Partners L.P. Form 10-K (FY2025):p5,low,,
Free cash flow,free cash flow,Operating cash flow 50 50 50 Free cash flow -120 50 50 70 IRR 18.4% Year two capex Capital expenditure -110 Working capital acquired -25 25 Operating cash flow 55 55 55 Free cash flow -135 55 55 80 IRR,"ConocoPhillips Form 10-K (FY2025) | Oil Company Crisis: Managing Structure, Profitability and Growth | SLB N.V. (SLB Limited) Form 10-K (FY2025)","Oil Company Crisis: Managing Structure, Profitability and Growth:p73 | ConocoPhillips Form 10-K (FY2025):p35 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p15",low,G92,
full cost,full cost,"eference prices that correspond to the full cost of supply.* The price gap is the amount by which an end-use price falls short of the reference price, and its existence indicates the presence of a subsidy. In a given economy, the basic calcu­ lation of subsidies for","Oil Company Crisis: Managing Structure, Profitability and Growth | The Economics of Oil and Gas | Valuation of International Oil Companies (Osmundsen et al. 2006)","The Economics of Oil and Gas:p159 | Oil Company Crisis: Managing Structure, Profitability and Growth:p76 | Valuation of International Oil Companies (Osmundsen et al. 2006):p16",low,,do not collapse with successful-efforts
futures,futures,"whether they went “long” or “short” on futures contracts. And their cumulative decisions would in turn accentuate price moves in one direction or the other. At this point, sheer bearishness predominated. Prices fell below $30 and seemed headed toward $25 a barrel. S","ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | How the World Really Works | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale | Valero Energy Corporation Form 10-K (FY2024) | Valuation of International Oil Companies (Osmundsen et al. 2006)","The New Map: Energy, Climate, and the Clash of Nations:p247 | The World for Sale:p75 | How the World Really Works:p194 | The Economics of Oil and Gas:p12 | Oil: A Beginner's Guide:p40 | Energy: A Beginner's Guide:p186 | Energy (Vaclav Smil):p144 | Oil Company Crisis: Managing Structure, Profitability and Growth:p15",low,,
gathering,gathering,", had to do with worldwide intelligence gathering, most of which was focused on terrorism and how to counter such threats as IEDs, improvised explosive devices, which were killing and maiming U.S. military personnel. Snowden’s presence in Moscow was facilitated by the","ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | How the World Really Works | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale","The New Map: Energy, Climate, and the Clash of Nations:p75 | The World for Sale:p157 | How the World Really Works:p71 | The Economics of Oil and Gas:p38 | Oil: A Beginner's Guide:p121 | Energy: A Beginner's Guide:p14 | Energy (Vaclav Smil):p14 | ConocoPhillips Form 10-K (FY2025):p13",low,,
Geopolitics,geopolitics,". The Prize is a sprawling canvas about geopolitics and oil over almost a century and a half, and that certainly is part of the narrative of The New Map. The Commanding Heights, which I coauthored, was about the world after the Cold War and the new age of globalization.","Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale","The New Map: Energy, Climate, and the Clash of Nations:p4 | The World for Sale:p42 | The Economics of Oil and Gas:p218 | Exxon Mobil Corporation Form 10-K (FY2025):p40 | Enterprise Products Partners L.P. Form 10-K (FY2025):p67",low,G113,
GHG,ghg,"the two countries. The greenhouse gas (GHG) intensity of Canadian oil sands has fallen by more than 20 percent over a decade, and current trends indicate at least another 20 percent decline. Though not well recognized, the life cycle of GHG emissions from some","ConocoPhillips Form 10-K (FY2025) | How the World Really Works | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The New Map: Energy, Climate, and the Clash of Nations | Valero Energy Corporation Form 10-K (FY2024)","The New Map: Energy, Climate, and the Clash of Nations:p52 | How the World Really Works:p243 | ConocoPhillips Form 10-K (FY2025):p3 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p5 | Valero Energy Corporation Form 10-K (FY2024):p4",low,,
greenhouse gas,greenhouse gas,"–33, 341–43. See also carbon emissions; greenhouse gas emissions (GHG) polysilicon, 397 Pompeo, Mike, 59, 168, 187 population growth, 4, 297, 368, 378, 413–14 populist politics, 43, 44–45, 423 Potential Gas Committee, 12 Power of Siberia pipeline, 117, 125, 126, 158 Pradha","ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The New Map: Energy, Climate, and the Clash of Nations | Valero Energy Corporation Form 10-K (FY2024)","The New Map: Energy, Climate, and the Clash of Nations:p38 | How the World Really Works:p14 | Oil: A Beginner's Guide:p13 | Energy: A Beginner's Guide:p37 | Energy (Vaclav Smil):p32 | Exxon Mobil Corporation Form 10-K (FY2025):p5 | ConocoPhillips Form 10-K (FY2025):p3 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p5",low,,
heavy crude,heavy crude,"oast and in the Midwest to handle these heavy crudes. As a result, these refineries are not well suited to handle the swelling volumes of lighter, higher-quality shale oil. As the volumes of light oils increase, the refineries become less efficient, imposing a financial","Oil: A Beginner's Guide | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations","The New Map: Energy, Climate, and the Clash of Nations:p60 | The Economics of Oil and Gas:p132 | Oil: A Beginner's Guide:p182",low,,
hedging,hedging,"were launched, mainly by oil companies, hedging against an uncertain energy future, and by Japanese tech companies, sparked by Japan’s alarming lack of natural resources. The appeal of solar has been enormous ever since. As Professor Martin Green, a leader in solar r","ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale | Valero Energy Corporation Form 10-K (FY2024)","The New Map: Energy, Climate, and the Clash of Nations:p344 | The World for Sale:p343 | Exxon Mobil Corporation Form 10-K (FY2025):p96 | ConocoPhillips Form 10-K (FY2025):p67 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p43 | Enterprise Products Partners L.P. Form 10-K (FY2025):p7 | Valero Energy Corporation Form 10-K (FY2024):p22",low,,
Henry Hub,henry hub,"Hub in Louisiana. According to CME, the Henry Hub natural gas futures is the third largest physical commodity futures contract in the world by volume. Some of the key contract specifications are as follows. Contract unit 10,000 million British thermal units Price qu",ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | The Economics of Oil and Gas,The Economics of Oil and Gas:p176 | Exxon Mobil Corporation Form 10-K (FY2025):p64 | ConocoPhillips Form 10-K (FY2025):p37 | Enterprise Products Partners L.P. Form 10-K (FY2025):p41,low,,
horizontal drilling,horizontal drilling,"Devon was now positioned to try to meld horizontal drilling with fracking.4 — I[ aUR U\a `bZZR_ \S  , N YN_TR T_\b] \S T\cR_[ZR[a \SSVPVNY`, engineers, experts, and executives from the natural gas industry were convening, 750 miles to the north, in a cavernous conference room","Energy (Vaclav Smil) | Energy: A Beginner's Guide | Oil: A Beginner's Guide | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations","The New Map: Energy, Climate, and the Clash of Nations:p21 | The Economics of Oil and Gas:p52 | Oil: A Beginner's Guide:p48 | Energy: A Beginner's Guide:p116 | Energy (Vaclav Smil):p90",low,,
hydraulic fracturing,hydraulic fracturing,"87 and global power politics, xiii and hydraulic fracturing, 28–29 and indoor air pollution in developing countries, 407–8 and opposition to pipeline projects, 46–51 and U.S. transition to LNG exporter, 37 See also carbon emissions; climate change Environmental Defense Fund, 28","ConocoPhillips Form 10-K (FY2025) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations","The New Map: Energy, Climate, and the Clash of Nations:p19 | The Economics of Oil and Gas:p63 | Oil: A Beginner's Guide:p48 | Energy: A Beginner's Guide:p116 | Exxon Mobil Corporation Form 10-K (FY2025):p6 | ConocoPhillips Form 10-K (FY2025):p25 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p3 | Enterprise Products Partners L.P. Form 10-K (FY2025):p51",low,G113,
hydrocracking,hydrocracking,115 115 Atmospheric crude disllaon Hydrocracking Hydrotreang Naphtha reforming “Light ends” (naphtha and gasoline) “Middle disllates” (kerosene and gasoil/diesel) Residual fuel oil Catalyc reforming Fluid catalyc cracker Lubricants Delayed coking Thermal cr,Energy (Vaclav Smil) | Energy: A Beginner's Guide | Oil: A Beginner's Guide | The Economics of Oil and Gas,The Economics of Oil and Gas:p126 | Oil: A Beginner's Guide:p145 | Energy: A Beginner's Guide:p117 | Energy (Vaclav Smil):p91,low,,
hydrogen,hydrogen,"5 billion going for wind, solar, “clean hydrogen,” renovating buildings, “clean mobility in our cities,” and the installation of a million charging points for EVs.2 The overall objective—net zero carbon by 2050—is a daunting ambition. How daunting is underscored by th","Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | Valero Energy Corporation Form 10-K (FY2024)","The New Map: Energy, Climate, and the Clash of Nations:p289 | How the World Really Works:p28 | The Economics of Oil and Gas:p126 | Oil: A Beginner's Guide:p56 | Energy: A Beginner's Guide:p20 | Energy (Vaclav Smil):p18 | Exxon Mobil Corporation Form 10-K (FY2025):p3 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p5",low,,
impairment,impairment,’s price assumptions which are used for impairment assessments. The Corporation believes the standardized measure does not provide a reliable estimate of the expected future cash flows to be obtained from the development and production of its oil and gas properties or o,ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | SLB N.V. (SLB Limited) Form 10-K (FY2025) | Valero Energy Corporation Form 10-K (FY2024),Exxon Mobil Corporation Form 10-K (FY2025):p35 | ConocoPhillips Form 10-K (FY2025):p20 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p20 | Enterprise Products Partners L.P. Form 10-K (FY2025):p54 | Valero Energy Corporation Form 10-K (FY2024):p64,high,G112,
independent,independent,"Marcellus. What particularly drove the independents to move as fast as possible was that great motivator known as price. “After decades of being cheap and plentiful,” the Wall Street Journal reported, “U.S. natural gas is the most expensive in the industrialized world.”","ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale | Valero Energy Corporation Form 10-K (FY2024) | Valuation of International Oil Companies (Osmundsen et al. 2006)","The New Map: Energy, Climate, and the Clash of Nations:p11 | The World for Sale:p17 | How the World Really Works:p112 | The Economics of Oil and Gas:p101 | Oil: A Beginner's Guide:p22 | Energy: A Beginner's Guide:p56 | Energy (Vaclav Smil):p44 | Oil Company Crisis: Managing Structure, Profitability and Growth:p8",low,G195,
independents,independents,"Marcellus. What particularly drove the independents to move as fast as possible was that great motivator known as price. “After decades of being cheap and plentiful,” the Wall Street Journal reported, “U.S. natural gas is the most expensive in the industrialized world.”","Oil Company Crisis: Managing Structure, Profitability and Growth | The New Map: Energy, Climate, and the Clash of Nations","The New Map: Energy, Climate, and the Clash of Nations:p23 | Oil Company Crisis: Managing Structure, Profitability and Growth:p31",low,,
integrated company,integrated company,"chose to leave BG a single, vertically integrated company in order to facilitate the privatization and maximize the sale proceeds. However, the Gas Act removed BG’s monopoly to supply large customers using more than 25,000 therms per annum, while obliging it to transport co","Oil Company Crisis: Managing Structure, Profitability and Growth | The Economics of Oil and Gas","The Economics of Oil and Gas:p197 | Oil Company Crisis: Managing Structure, Profitability and Growth:p19",low,,
integrated oil company,integrated oil company,"that the diversity of businesses in an integrated oil company gives some protection from the extreme volatility in earnings experienced by single business companies. In principle, investors should be able to construct portfolios that leave them indifferent to company-specific","Oil Company Crisis: Managing Structure, Profitability and Growth","Oil Company Crisis: Managing Structure, Profitability and Growth:p40",low,,
integrated oil major,integrated oil major,"esult, the profitability is lower. Many integrated oil majors have exited the retail business. Second, the number of supermarket retail outlets has been The Economics of Oil and Gas 134 134 increasing. These stations generally have higher throughput than the inde­ pendent gas",The Economics of Oil and Gas,The Economics of Oil and Gas:p149,low,,
international oil company,international oil company,gency IGU International Gas Union IOC international oil company LNG liquefied natural gas LPG liquefied petroleum gas MCF thousand cubic feet MER maximum efficient rate (of recovery) MMbbl million barrels MMBTU million British thermal units MMCF million cubic feet MMCM milli,The Economics of Oil and Gas,The Economics of Oil and Gas:p14,low,,variant: IOC
IOC,ioc,"hannels of international oil companies (IOCs) and highlight the rationale for changes. We then discuss the pricing issues of refined petroleum products. In developed countries, refined products are heavily taxed. Arguments for taxing petroleum products are pre",The Economics of Oil and Gas,The Economics of Oil and Gas:p14,low,,variant: international oil company
lease operating,lease operating,"mployee workforce, which in addition to lease operating cost improvements and opportunities in transportation and processing is expected to contribute approximately $0.8 billion in cost reductions. We anticipate the remaining approximately $0.2 billion to be achieved throu",ConocoPhillips Form 10-K (FY2025),ConocoPhillips Form 10-K (FY2025):p34,high,G186,
lease operating expense,lease operating expense,"enses of $151 million, driven by higher lease operating expenses and well work activity and severance costs related to a restructuring, and higher DD&A of $73 million, primarily driven by higher rates. See Note 14. Production Average production increased five MBOED in 2025 compared",ConocoPhillips Form 10-K (FY2025),ConocoPhillips Form 10-K (FY2025):p43,high,G186,
lifting cost,lifting cost,"ment cost and direct production cost or lifting cost.15 Exploration and development costs include expenditure for geological and geophysical surveys, land acquisition, drilling costs (including dry holes), well comple­ tion and facility costs and gathering, processing a",Oil: A Beginner's Guide | The Economics of Oil and Gas,The Economics of Oil and Gas:p62 | Oil: A Beginner's Guide:p132,low,,
light crude,light crude,"but little diesel and gasoline; there’s light crude, akin to cooking oil, which yields more gasoline and petrochemical products. And each variety has differing levels of sulphur, heavy metals and other impurities. Each variety also has its own price. The three varieties",Oil: A Beginner's Guide | The Economics of Oil and Gas | The World for Sale,The World for Sale:p150 | The Economics of Oil and Gas:p132 | Oil: A Beginner's Guide:p51,low,,
liquefied natural gas,liquefied natural gas,"Canal carrying the first cargo of U.S. liquefied natural gas (LNG) to China. Oil and gas exports now loom large in U.S.-China trade battles. Yuhuang Chemical of China made a multi-billion-dollar investment in St. James Parish, Louisiana, because of inexpensive natural gas. It al","ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations","The New Map: Energy, Climate, and the Clash of Nations:p22 | How the World Really Works:p105 | The Economics of Oil and Gas:p11 | Oil: A Beginner's Guide:p175 | Energy: A Beginner's Guide:p107 | Energy (Vaclav Smil):p93 | Oil Company Crisis: Managing Structure, Profitability and Growth:p34 | Exxon Mobil Corporation Form 10-K (FY2025):p20",low,,variant: LNG
LNG,lng,"K and the Netherlands, where pipelines, LNG terminals, and gas trading converged. The EU also wanted contracts to be transparent to prevent what it defined as “anti-competitive” behavior, and it prohibited Gazprom from owning the pipes through which its gas moved","ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations","The New Map: Energy, Climate, and the Clash of Nations:p22 | How the World Really Works:p119 | The Economics of Oil and Gas:p11 | Oil: A Beginner's Guide:p175 | Energy: A Beginner's Guide:p164 | Energy (Vaclav Smil):p128 | Oil Company Crisis: Managing Structure, Profitability and Growth:p34 | Exxon Mobil Corporation Form 10-K (FY2025):p13",low,,variant: liquefied natural gas
majors,majors,"the independents have scaled back, the majors have stepped up. ConocoPhillips, once a very international company, has shifted back to emphasize North America onshore. Two of the largest majors, ExxonMobil and Chevron, have both partly pivoted back to North America,","Oil Company Crisis: Managing Structure, Profitability and Growth | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale | Valuation of International Oil Companies (Osmundsen et al. 2006)","The New Map: Energy, Climate, and the Clash of Nations:p23 | The World for Sale:p33 | The Economics of Oil and Gas:p149 | Oil Company Crisis: Managing Structure, Profitability and Growth:p6 | Valuation of International Oil Companies (Osmundsen et al. 2006):p2",low,,
Master Limited Partnership,master limited partnership,gy Infrastructure Council (formerly the Master Limited Partnership Association). He also serves on the Advisory Board for the College of Business at Louisiana Tech University and on the Board of Trustees for the Texas Parks and Wildlife Foundation. Table of Contents 100 Carin M. Bar,Enterprise Products Partners L.P. Form 10-K (FY2025),Enterprise Products Partners L.P. Form 10-K (FY2025):p102,high,G7;G20;G216,variant: MLP
midstream,midstream,"from the gas field will be piped to a “midstream” liquefaction plant, typically located on the coast­ line for ease of export. Here the gas is processed to remove impurities such as water, carbon dioxide and hydrogen sulphide, as well as any associated liquids and o",Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas,The Economics of Oil and Gas:p173 | Exxon Mobil Corporation Form 10-K (FY2025):p143 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p4 | Enterprise Products Partners L.P. Form 10-K (FY2025):p5,low,,
